건물번호,건물유형,연면적(m2),냉방면적(m2),태양광용량(kW),ESS저장용량(kWh),PCS용량(kW)
1,호텔,82912.71,77586.0,-,-,-
2,상용,40658.9,30392.82,-,-,-
3,병원,560431.0,418992.0,278.58,-,-
4,호텔,41813.29,23715.71,-,-,-
5,학교,403749.39,248507.0,1983.05,1025,250
6,상용,157835.0,157835.0,-,-,-
7,건물기타,118346.0,78237.38,389.76,-,-
8,학교,167751.0,82112.0,217.92,-,-
9,호텔,136757.0,109024.0,-,-,-
10,호텔,435993.5,341983.0,-,-,-
11,아파트,271233.0,233263.0,-,-,-
12,학교,581897.0,311452.0,1349.03,-,-
13,연구소,97372.12,44536.0,276,-,-
14,학교,504332.0,339131.0,849.78,101.5,101
15,연구소,86546.94,70321.12,1974.71,500,500
16,상용,47999.0,28795.0,-,-,-
17,병원,82573.61,68513.41,-,-,-
18,백화점,51123.0,21751.0,-,-,-
19,백화점,85264.46,34000.0,97,-,-
20,상용,44259.8,32639.29,100,-,-
21,병원,92149.0,75836.0,255.88,-,-
22,학교,230009.893,206138.0,879.82,-,-
23,연구소,84484.0,35742.0,858.02,3100,1500
24,학교,201828.93,161463.14,953.4,-,-
25,아파트,340630.0,247380.0,-,-,-
26,건물기타,215089.0,215089.0,83.95,-,-
27,백화점,66106.02,40000.0,-,-,-
28,호텔,43894.83,5619.7,-,-,-
29,백화점,54866.51,30953.0,97.85,-,-
30,IDC(전화국),31156.75,13487.0,-,-,-
31,아파트,186132.26,122153.0,-,-,-
32,백화점,77917.0,35676.0,-,-,-
33,공공,138156.0,88119.0,344.96,-,-
34,백화점,335737.12,167868.56,342,205,500
35,IDC(전화국),27966.92,20397.0,-,-,-
36,IDC(전화국),32558.0,16873.0,-,-,-
37,연구소,124037.0,77267.0,12.24,-,-
38,공공,61375.47,19800.0,83.2,-,-
39,병원,99347.35,59803.08,74.25,-,-
40,백화점,57684.93,15770.32,-,-,-
41,상용,10064.0,1862.0,-,-,-
42,병원,188769.83,149413.74,140.6,-,-
43,IDC(전화국),42035.26,34650.63,77.76,-,-
44,병원,61021.85,45061.76,198.56,469.2,150
45,백화점,196028.2,74378.25,-,-,-
46,학교,141963.91,135526.79,-,-,-
47,건물기타,80337.0,66947.0,-,-,-
48,병원,111633.0,72627.98,10.08,-,-
49,연구소,71602.64,57460.1,218.88,-,-
50,공공,135785.69,100746.2,1039.86,-,-
51,상용,18501.0,10466.0,-,-,-
52,IDC(전화국),44676.67,26701.0,105,-,-
53,연구소,16014.23,16014.23,215.89,-,-
54,백화점,133899.43,66658.0,-,-,-
55,학교,361511.09,119266.5,1397.02,2000,1000
56,상용,10035.42,7593.53,-,-,-
57,IDC(전화국),46850.27,13342.0,199.4,-,-
58,건물기타,95625.0,54824.0,-,-,-
59,백화점,169052.0,33867.0,-,-,-
60,학교,323610.6,194166.36,219.6,-,-
61,건물기타,45370.54,18125.0,-,-,-
62,연구소,66240.0,31867.0,-,-,-
63,백화점,51771.62,12066.86,-,-,-
64,IDC(전화국),33861.67,19232.0,820,-,-
65,아파트,300496.816,183315.469,-,-,-
66,공공,145056.0,60193.0,540.57,-,-
67,IDC(전화국),83432.35,27363.0,50.88,-,-
68,공공,111365.97,36356.07,94.38,-,-
69,건물기타,205637.34,174516.725,1297.98,1670,550
70,아파트,492485.514,415124.587,-,-,-
71,아파트,228427.47,131500.0,-,-,-
72,공공,77599.0,48251.0,1340.1,2000,1000
73,백화점,139042.61,85996.6,103,-,-
74,백화점,146518.0,98493.0,-,-,-
75,병원,129583.77,96896.0,419.2,150,75
76,상용,13824.64,1089.28,36,-,-
77,호텔,79953.78,58489.31,-,-,-
78,건물기타,194433.0,10435.0,-,-,-
79,백화점,338093.0,130928.2,-,-,-
80,공공,373141.0,75340.0,790.08,201.1,101
81,IDC(전화국),36142.33,337.84,-,-,-
82,건물기타,83948.469,46397.0,-,-,-
83,연구소,72573.53,62015.99,605,-,-
84,호텔,95232.88,23603.0,-,-,-
85,아파트,252313.0,252257.0,-,-,-
86,상용,143730.11,100676.04,495,-,-
87,학교,596251.0,107436.0,282.95,-,-
88,백화점,129520.65,85751.07,38.88,-,-
89,호텔,303737.0,217825.56,77.38,-,-
90,병원,93084.16,70677.15,168,-,-
91,아파트,364652.77,243493.983,-,-,-
92,공공,27915.29,5628.0,322.9,209,100
93,아파트,308165.64,22210.39,-,-,-
94,연구소,48543.27,44576.27,99.64,-,-
95,백화점,110530.0,75876.78,20.25,-,-
96,건물기타,3260213.41,1956128.0,-,-,-
97,건물기타,42370.93,3975.52,81.38,-,-
98,호텔,99102.62,22097.0,-,-,-
99,상용,329867.95,13442.35,171.6,-,-
100,호텔,162070.24,152943.0,-,-,-
